collection_date,state_in_brazil,n
2020-12-01,Paraiba,1
2020-12-02,Paraiba,1
2020-12-03,Paraiba,4
2020-12-04,Paraiba,1
2020-12-09,Paraiba,5
2020-12-10,Paraiba,5
2021-01-09,Paraiba,1
2021-01-10,Paraiba,1
2021-01-11,Paraiba,4
2021-01-12,Paraiba,3
2021-01-13,Paraiba,3
2021-01-18,Amazonas,3
2021-01-18,Rio de Janeiro,3
2021-01-19,Rio de Janeiro,4
2021-01-20,Bahia,3
2021-01-21,Bahia,3
2021-01-21,Paraiba,3
2021-01-21,Rio de Janeiro,2
2021-01-22,Rio de Janeiro,3
2021-01-23,Bahia,1
2021-01-23,Paraiba,1
2021-01-24,Bahia,3
2021-01-24,Paraiba,1
2021-01-25,Bahia,1
2021-01-25,Paraiba,3
2021-01-25,Rio de Janeiro,9
2021-01-26,Amazonas,1
2021-01-26,Bahia,3
2021-01-26,Paraiba,3
2021-01-26,Rio Grande do Norte,18
2021-01-27,Bahia,3
2021-01-27,Paraiba,3
2021-01-27,Rio de Janeiro,2
2021-01-28,Bahia,3
2021-01-28,Rio Grande do Norte,3
2021-01-29,Rio de Janeiro,6
2021-01-29,Rio Grande do Norte,6
2021-01-31,Bahia,8
2021-02-01,Bahia,1
2021-02-01,Rio Grande do Norte,17
2021-02-03,Bahia,6
2021-02-03,Rio de Janeiro,4
2021-02-04,Bahia,5
2021-02-05,Rio de Janeiro,3
2021-02-07,Bahia,3
2021-02-08,Bahia,5
2021-02-10,Bahia,6
2021-02-14,Bahia,3
2021-02-15,Bahia,1
